lemma,cl
러시아/NOUN,525
러시아어/NOUN,526
럭비/NOUN,527
레슬링/NOUN,528
레이저/NOUN,529
렌즈/NOUN,530
로고/NOUN,531
로마/NOUN,532
로마법/NOUN,533
로마자/NOUN,534
로버트/NOUN,535
로봇/NOUN,536
로비/NOUN,537
록/NOUN,538
롯데/NOUN,539
루이스/NOUN,540
루터교/NOUN,541
르네상스/NOUN,542
리그/NOUN,543
리눅스/NOUN,544
링컨/NOUN,545
마그네슘/NOUN,546
마니교/NOUN,547
마드리드/NOUN,548
마리/NOUN,549
마법/NOUN,550
마스터스/NOUN,551
마음/NOUN,552
마지막/NOUN,553
마크업/NOUN,554
막/NOUN,555
만남/NOUN,556
만주/NOUN,557
만큼/NOUN,558
말/NOUN,559
말러/NOUN,560
말씀/NOUN,561
맛/NOUN,562
매/NOUN,563
매체/NOUN,564
맥/NOUN,565
맨체스터/NOUN,566
머신/NOUN,567
메모리/NOUN,568
메시지/NOUN,569
메인/NOUN,570
메일/NOUN,571
멕시코/NOUN,572
멤버/NOUN,573
명/NOUN,574
명령/NOUN,575
명상/NOUN,576
명예/NOUN,577
명제/NOUN,578
명칭/NOUN,579
모/NOUN,580
모델/NOUN,581
모방/NOUN,582
모순/NOUN,583
모습/NOUN,584
모양/NOUN,585
모의/NOUN,586
모피/NOUN,587
목격자/NOUN,588
목관/NOUN,589
목록/NOUN,590
목사/NOUN,591
목재/NOUN,592
목적/NOUN,593
목표/NOUN,594
목표물/NOUN,595
묘사/NOUN,596
무기/NOUN,597
무대/NOUN,598
무료/NOUN,599
무리/NOUN,600
무사/NOUN,601
무선/NOUN,602
무슬림/NOUN,603
무역/NOUN,604
무장/NOUN,605
무차별/NOUN,606
무한/NOUN,607
문/NOUN,608
문과/NOUN,609
문명/NOUN,610
문서/NOUN,611
문예/NOUN,612
문자/NOUN,613
문장/NOUN,614
문제/NOUN,615
문제들/NOUN,616
문체/NOUN,617
문하생/NOUN,618
문학/NOUN,619
문헌/NOUN,620
문화/NOUN,621
물/NOUN,622
물건/NOUN,623
물고기/NOUN,624
물리/NOUN,625
물리학/NOUN,626
물질/NOUN,627
물체/NOUN,628
물품/NOUN,629
미/NOUN,630
미국/NOUN,631
미국인/NOUN,632
미군/NOUN,633
미니/NOUN,634
미드필더/NOUN,635
미들웨어/NOUN,636
미디어/NOUN,637
미분/NOUN,638
미사/NOUN,639
미세/NOUN,640
미쓰비시/NOUN,641
미야기/NOUN,642
미인/NOUN,643
민간/NOUN,644
민선/NOUN,645
민속/NOUN,646
민족/NOUN,647
민족들/NOUN,648
민주/NOUN,649
민주당/NOUN,650
민주주의/NOUN,651
민주화/NOUN,652
밀가루/NOUN,653
바/NOUN,654
바다/NOUN,655
바둑/NOUN,656
바람/NOUN,657
바위/NOUN,658
바탕/NOUN,659
박/NOUN,660
박물관/NOUN,661
박사/NOUN,662
박정희/NOUN,663
박해/NOUN,664
반경/NOUN,665
반대/NOUN,666
반도체/NOUN,667
반란/NOUN,668
반면/NOUN,669
반응/NOUN,670
발/NOUN,671
발견/NOUN,672
발달/NOUN,673
발명/NOUN,674
발생/NOUN,675
발언/NOUN,676
발의/NOUN,677
발자국/NOUN,678
발전/NOUN,679
발표/NOUN,680
발행/NOUN,681
방법/NOUN,682
방사선/NOUN,683
방송/NOUN,684
방송국/NOUN,685
방식/NOUN,686
방어/NOUN,687
방언/NOUN,688
배/NOUN,689
배경/NOUN,690
배우/NOUN,691
백두산/NOUN,692
백색/NOUN,693
백신/NOUN,694
밴드/NOUN,695
뱀/NOUN,696
버디/NOUN,697
버스/NOUN,698
버전/NOUN,699
버지니아/NOUN,700
번/NOUN,701
번역/NOUN,702
번호/NOUN,703
범죄/NOUN,704
법률/NOUN,705
법안/NOUN,706
법정/NOUN,707
벗/NOUN,708
베를린/NOUN,709
베스트/NOUN,710
베트남/NOUN,711
벤더/NOUN,712
변수/NOUN,713
변화/NOUN,714
변환/NOUN,715
별/NOUN,716
병/NOUN,717
보급/NOUN,718
보도/NOUN,719
보상/NOUN,720
보수/NOUN,721
보스/NOUN,722
보안/NOUN,723
보존/NOUN,724
보호/NOUN,725
복지/NOUN,726
본당/NOUN,727
본사/NOUN,728
볼/NOUN,729
봉건/NOUN,730
봉기/NOUN,731
부근/NOUN,732
부대/NOUN,733
부동/NOUN,734
부분/NOUN,735
부속/NOUN,736
부위/NOUN,737
부자/NOUN,738
부족/NOUN,739
부처/NOUN,740
부품/NOUN,741
부하/NOUN,742
부호화/NOUN,743
북군/NOUN,744
북동쪽/NOUN,745
북면/NOUN,746
북방/NOUN,747
북부/NOUN,748
북서/NOUN,749
북아메리카/NOUN,750
북중미/NOUN,751
북쪽/NOUN,752
북한/NOUN,753
분/NOUN,754
분과/NOUN,755
분류/NOUN,756
분리/NOUN,757
분배/NOUN,758
분석/NOUN,759
분야/NOUN,760
분위기/NOUN,761
분자/NOUN,762
분쟁/NOUN,763
분할/NOUN,764
분해/NOUN,765
분화/NOUN,766
불/NOUN,767
불가능/NOUN,768
불교/NOUN,769
불법/NOUN,770
불사/NOUN,771
붕괴/NOUN,772
브라이언/NOUN,773
브라질/NOUN,774
브랜드/NOUN,775
블로그/NOUN,776
블로깅/NOUN,777
블록/NOUN,778
비/NOUN,779
비공식/NOUN,780
비극/NOUN,781
비디오/NOUN,782
비용/NOUN,783
비유클리드/NOUN,784
비즈니스/NOUN,785
비토리오/NOUN,786
비판/NOUN,787
비평가/NOUN,788
비행기/NOUN,789
빈부/NOUN,790
빌딩/NOUN,791
빌딩들/NOUN,792
빙하/NOUN,793
사건/NOUN,794
사교/NOUN,795
사단/NOUN,796
사도/NOUN,797
사람/NOUN,798
사람들/NOUN,799
사랑/NOUN,800
사령탑/NOUN,801
사례/NOUN,802
사립/NOUN,803
사망/NOUN,804
사무/NOUN,805
사무라이/NOUN,806
사무실/NOUN,807
사무총장/NOUN,808
사법/NOUN,809
사변/NOUN,810
사병/NOUN,811
사상/NOUN,812
사슴/NOUN,813
사실/NOUN,814
사양/NOUN,815
사업/NOUN,816
사용/NOUN,817
사용자/NOUN,818
사운드/NOUN,819
사유/NOUN,820
사이비/NOUN,821
사이트/NOUN,822
사장/NOUN,823
사전/NOUN,824
사정/NOUN,825
사진/NOUN,826
사철/NOUN,827
사항/NOUN,828
사형/NOUN,829
사회/NOUN,830
사회과학/NOUN,831
사회주의/NOUN,832
사회주의자/NOUN,833
산/NOUN,834
산맥/NOUN,835
산악/NOUN,836
산양/NOUN,837
산업/NOUN,838
산업용/NOUN,839
산출/NOUN,840
삶/NOUN,841
삼각/NOUN,842
삼국/NOUN,843
삼성/NOUN,844
상/NOUN,845
상가/NOUN,846
상대/NOUN,847
상부/NOUN,848
상세/NOUN,849
상수/NOUN,850
상업/NOUN,851
상원/NOUN,852
상위/NOUN,853
상임/NOUN,854
상자/NOUN,855
상전/NOUN,856
상처/NOUN,857
상태/NOUN,858
상품/NOUN,859
상호/NOUN,860
상황/NOUN,861
새끼/NOUN,862
색/NOUN,863
샘/NOUN,864
생각/NOUN,865
생명/NOUN,866
생물/NOUN,867
생물학/NOUN,868
생산/NOUN,869
생선/NOUN,870
생성/NOUN,871
생체/NOUN,872
생태계/NOUN,873
생활/NOUN,874
샤를/NOUN,875
샤리아/NOUN,876
서민/NOUN,877
서방/NOUN,878
서버/NOUN,879
서부/NOUN,880
서비스/NOUN,881
서식지/NOUN,882
서양/NOUN,883
서울/NOUN,884
서적/NOUN,885
서점/NOUN,886
서정/NOUN,887
서초구/NOUN,888
석유/NOUN,889
석조/NOUN,890
선거/NOUN,891
선박/NOUN,892
선배/NOUN,893
선생/NOUN,894
선생님/NOUN,895
선수/NOUN,896
선전/NOUN,897
선출/NOUN,898
선출직/NOUN,899
선택/NOUN,900
설/NOUN,901
설계/NOUN,902
설득력/NOUN,903
설명/NOUN,904
설치/NOUN,905
섬/NOUN,906
섬유/NOUN,907
성/NOUN,908
성격/NOUN,909
성경/NOUN,910
성공회/NOUN,911
성과/NOUN,912
성당/NOUN,913
성의/NOUN,914
성인/NOUN,915
성적/NOUN,916
성주/NOUN,917
성직자/NOUN,918
성질/NOUN,919
성추행/NOUN,920
성폭행/NOUN,921
성향/NOUN,922
세/NOUN,923
세계/NOUN,924
세계관/NOUN,925
세계인/NOUN,926
세계적/NOUN,927
세계화/NOUN,928
세기/NOUN,929
세라믹/NOUN,930
세력/NOUN,931
세부/NOUN,932
세속/NOUN,933
세월/NOUN,934
세포/NOUN,935
섹스/NOUN,936
센다이/NOUN,937
센트럴/NOUN,938
셀레늄/NOUN,939
소/NOUN,940
소규모/NOUN,941
소금/NOUN,942
소녀/NOUN,943
소도시/NOUN,944
소득/NOUN,945
소득세/NOUN,946
소련/NOUN,947
소리/NOUN,948
소비에트/NOUN,949
소설/NOUN,950
소속/NOUN,951
소속사/NOUN,952
소수/NOUN,953
소스/NOUN,954
소식/NOUN,955
소위/NOUN,956
소재/NOUN,957
소프트웨어/NOUN,958
속/NOUN,959
속국/NOUN,960
속도/NOUN,961
속성/NOUN,962
손/NOUN,963
손가락/NOUN,964
쇼핑/NOUN,965
수/NOUN,966
수도/NOUN,967
수도권/NOUN,968
수도사/NOUN,969
수도원/NOUN,970
수력/NOUN,971
수리/NOUN,972
수색/NOUN,973
수소/NOUN,974
수식/NOUN,975
수입/NOUN,976
수치/NOUN,977
수학/NOUN,978
수행/NOUN,979
순결/NOUN,980
순서/NOUN,981
순위/NOUN,982
순환/NOUN,983
숲/NOUN,984
슈퍼/NOUN,985
스위스/NOUN,986
스코틀랜드/NOUN,987
스키장/NOUN,988
스타/NOUN,989
스타일/NOUN,990
스토리/NOUN,991
스튜디오/NOUN,992
스페셜/NOUN,993
스페인/NOUN,994
스포츠/NOUN,995
스폰서/NOUN,996
슬픔/NOUN,997
승강장/NOUN,998
승점/NOUN,999
시/NOUN,1000
시가/NOUN,1001
시가지/NOUN,1002
시각/NOUN,1003
시간/NOUN,1004
시간제/NOUN,1005
시기/NOUN,1006
시대/NOUN,1007
시도/NOUN,1008
시동/NOUN,1009
시련/NOUN,1010
시리아/NOUN,1011
시리즈/NOUN,1012
시민/NOUN,1013
시설물/NOUN,1014
시스템/NOUN,1015
시인/NOUN,1016
시일/NOUN,1017
시작/NOUN,1018
시장/NOUN,1019
시절/NOUN,1020
시중/NOUN,1021
시즌/NOUN,1022
시청/NOUN,1023
시청자/NOUN,1024
시험/NOUN,1025
식/NOUN,1026
식당/NOUN,1027
식량/NOUN,1028
식료품/NOUN,1029
식물/NOUN,1030
식물성/NOUN,1031
식민/NOUN,1032
식민지/NOUN,1033
식생활/NOUN,1034
식품/NOUN,1035
신/NOUN,1036
신경/NOUN,1037
신곡/NOUN,1038
신들/NOUN,1039
신라계/NOUN,1040
신뢰/NOUN,1041
신문/NOUN,1042
신문사/NOUN,1043
신분/NOUN,1044
신사/NOUN,1045
신생/NOUN,1046
신성/NOUN,1047
신세계/NOUN,1048
